date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:03:42	683/683	---MCZ	200	added ('OK')	text/xml	date:Tue,%2023%20Feb%202021%2006:03:41%20GMT	https://avatao.com/xmlrpc.php?rsd	./httrack/avatao/avatao.com/xmlrpc0db0.php	(from https://avatao.com/)
07:03:42	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2023%20Feb%202021%2006:03:42%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2F	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embed720d	(from https://avatao.com/)
07:03:43	179/179	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2023%20Feb%202021%2006:03:43%20GMT	https://avatao.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Favatao.com%2F&format=xml	./httrack/avatao/avatao.com/wp-json/oembed/1.0/embeda22a	(from https://avatao.com/)
07:03:44	6284/6284	---M--	200	added ('OK')	image/png	etag:%22188c-5bad1e72f7e5a%22	https://avatao.com/media/2020/08/cropped-Avatao-favicon-150x150.png	./httrack/avatao/avatao.com/media/2020/08/cropped-Avatao-favicon-150x150.png	(from https://avatao.com/)
07:03:45	17061/17061	---M--	200	added ('OK')	image/png	etag:%2242a5-5bad1e72d151b%22	https://avatao.com/media/2020/08/cropped-Avatao-favicon-300x300.png	./httrack/avatao/avatao.com/media/2020/08/cropped-Avatao-favicon-300x300.png	(from https://avatao.com/)
07:03:47	33714/33714	---MCZ	200	added ('OK')	text/css	etag:W/%2283b2-5bbedeacf1bab%22	https://avatao.com/content/et-cache/3291/et-core-unified-3291-16140054033319.min.css	./httrack/avatao/avatao.com/content/et-cache/3291/et-core-unified-3291-16140054033319.min.css	(from https://avatao.com/)
07:03:48	38746/38746	---MCZ	200	added ('OK')	text/html	etag:W/%2217815b27ba68d6b6a2ce5b1c91c64d56%22	https://avatao.com/how-to-build-security-advantage-from-bugs	./httrack/avatao/avatao.com/how-to-build-security-advantage-from-bugs.html	(from https://avatao.com/)
07:03:48	46958/46958	---MCZ	200	added ('OK')	text/html	etag:W/%22b76e-5bbfaa51200de%22	https://avatao.com/compliance/	./httrack/avatao/avatao.com/compliance/index.html	(from https://avatao.com/)
07:03:48	49121/49121	---MCZ	200	added ('OK')	text/html	etag:W/%22bfe1-5bbfaa510f737%22	https://avatao.com/security-training/	./httrack/avatao/avatao.com/security-training/index.html	(from https://avatao.com/)
07:03:50	49121/49121	---MCZ	200	added ('OK')	text/html	etag:W/%22bee671ced81b3cb67349cb203f2a530d%22	https://avatao.com/security-training	./httrack/avatao/avatao.com/security-training.html	(from https://avatao.com/)
